a3,a2,a1,a0,st_range,end_range
-0.000621,-0.024287,0.291185,-2.525268,-13.034868,-33.895144
0.001302,0.171308,6.920907,72.379854,-33.895144,-56.841448
-0.061575,-10.550800,-602.539270,-11475.153111,-56.841448,-64.664051
0.820668,160.597483,10464.602110,227073.579870,-64.664051,-65.707065
-0.032519,-7.583861,-586.100420,-14962.830643,-65.707065,-80.309258
0.006213,1.747821,163.320033,5098.969624,-80.309258,-104.037822
-0.004889,-1.717419,-197.195925,-7403.462097,-104.037822,-117.075495
-0.000006,-0.002387,3.592256,432.329803,-117.075495,-126.984126
