a3,a2,a1,a0,st_range,end_range
0.000000,-46.150556,-52.096155,0.000000,-12.774115,-22.943499
-82.916793,-15.851426,0.000000,0.000000,-22.943499,-28.680075
0.000000,0.000000,0.000000,0.000000,-28.680075,-32.591377
0.000000,0.000000,0.000000,0.000000,-32.591377,-46.150556
0.000000,0.000000,0.000000,0.000000,-46.150556,-66.750079
0.000000,0.000000,0.000000,0.000000,-66.750079,-81.613026
0.000000,0.000000,0.000000,0.000000,-81.613026,-82.916793
0.000000,0.000000,0.000000,0.000000,-82.916793,-82.916793
