a3,a2,a1,a0,st_range,end_range
-0.000086,0.007396,-0.404908,-0.326170,28.788788,53.255825
0.001070,-0.177278,9.430089,-174.916468,53.255825,77.061591
-0.007998,1.919195,-152.127480,3975.044636,77.061591,92.270830
0.043334,-12.290061,1158.972334,-36350.377969,92.270830,104.834984
-0.534315,169.383375,-17886.759394,629202.614519,104.834984,110.125154
-0.902449,291.005666,-31280.432851,1120862.731639,110.125154,107.480069
0.001160,-0.354151,34.940310,-1063.423138,107.480069,90.948287
-0.000812,0.183785,-13.984035,419.771983,90.948287,71.110149
-0.000089,0.029603,-3.020127,159.890269,71.110149,43.998027
0.001769,-0.215684,7.772027,1.612440,43.998027,18.869719
-0.008212,0.349384,-2.890644,68.679643,18.869719,-5.597318
-0.116772,-1.473538,-13.094113,49.642290,-5.597318,-7.581131
-0.029194,0.518265,2.006006,87.800953,-7.581131,8.950650
0.004064,-0.374777,9.999317,63.952509,8.950650,38.046586
-0.002134,0.332586,-16.913459,405.265597,38.046586,55.900910
0.000588,-0.123862,8.602430,-70.188208,55.900910,74.416506
-0.000211,0.054469,-4.668325,258.999525,74.416506,92.932101
0.000104,-0.033209,3.479795,6.592226,92.932101,106.818798
