a0,a1,a2,a3,st_range,end_range
0.000000,0.000000,0.000000,0.000000,-13.034868,-33.895144
0.000000,0.000000,0.000000,0.000000,-33.895144,-56.841448
0.000000,0.000000,0.000000,0.000000,-56.841448,-64.664051
0.000000,0.000000,0.000000,0.000000,-64.664051,-65.707065
0.000000,0.000000,0.000000,0.000000,-65.707065,-80.309258
0.000000,0.000000,0.000000,0.000000,-80.309258,-104.037822
0.000000,0.000000,2.000000,-497.500757,-104.037822,-117.075495
0.000000,0.000000,-2.000000,497.500757,-117.075495,-126.984126
