a0,a1,a2,a3,st_range,end_range
0,0,0,0,-8.233979,-20.35728
0,0,0,0,-20.35728,-24.82375
0,0,0,0,-24.82375,-21.95244
0,0,0,0,-21.95244,-7.276876
0,0,0,0,-7.276876,17.92682
0,0,0,0,17.92682,34.19756
0,0,0,0,34.19756,53.97767
0.006269518,-0.8073327,-154.8434,16320.63,53.97767,73.75778
0,-1,-111.1195,-8267.142,73.75778,87.15721
0,0,0,0,87.15721,92.26176
