a0,a1,a2,a3,st_range,end_range
0.000000,-52.096155,-46.150556,0.000000,-12.774115,-22.943499
0.000000,0.000000,-15.851426,-82.916793,-22.943499,-28.680075
0.000000,0.000000,0.000000,0.000000,-28.680075,-32.591377
0.000000,0.000000,0.000000,0.000000,-32.591377,-46.150556
0.000000,0.000000,0.000000,0.000000,-46.150556,-66.750079
0.000000,0.000000,0.000000,0.000000,-66.750079,-81.613026
0.000000,0.000000,0.000000,0.000000,-81.613026,-82.916793
0.000000,0.000000,0.000000,0.000000,-82.916793,-82.916793
