a0,a1,a2,a3,st_range,end_range
0,0,0,0,-12.77411,-22.9435
0,0,0,0,-22.9435,-28.68007
0,0,0,0,-28.68007,-32.59138
0,0,0,0,-32.59138,-46.15055
0,0,0,0,-46.15055,-66.75008
inf,0,0,0,-66.75008,-81.61302
0,inf,inf,0,-81.61302,-82.91679
0,inf,inf,inf,-82.91679,-82.91679
