a0,a1,a2,a3,st_range,end_range
-2.525268,0.2911853,-0.02428676,-0.0006210717,-12.77411,-22.9435
72.37985,6.920907,0.1713083,0.001302459,-22.9435,-28.68007
-11475.15,-602.5392,-10.5508,-0.06157483,-28.68007,-32.59138
227073.6,10464.6,160.5975,0.8206685,-32.59138,-46.15055
-14962.83,-586.1004,-7.583861,-0.03251902,-46.15055,-66.75008
5098.97,163.32,1.747821,0.006213254,-66.75008,-81.61302
-7403.462,-197.1959,-1.717419,-0.004889245,-81.61302,-82.91679
432.3298,3.592256,-0.002386878,-6.265555e-006,-82.91679,-82.91679
